2026-07-28 16:32:03 | INFO     | data_quality_checks | [PASS] No orphaned foreign keys — {'date': 0, 'vehicle_type': 0, 'payment_method': 0}
2026-07-28 16:34:00 | INFO     | data_quality_checks | Running data quality checks...
2026-07-28 16:34:00 | INFO     | data_quality_checks | [PASS] Row count match (source vs fact) — source=103024, fact=103024
2026-07-28 16:34:00 | INFO     | data_quality_checks | [PASS] No duplicate booking_id in fact table — duplicates=0
2026-07-28 16:34:00 | INFO     | data_quality_checks | [PASS] No unexpected NULL foreign keys — {'null_date': 0, 'null_vehicle': 0, 'null_payment': 0, 'null_status': 0, 'null_pickup': 0, 'null_drop': 0}
2026-07-28 16:34:00 | INFO     | data_quality_checks | [PASS] No orphaned foreign keys — {'date': 0, 'vehicle_type': 0, 'payment_method': 0}
2026-07-28 16:36:20 | INFO     | data_quality_checks | Running data quality checks...
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] Row count match (source vs fact) — source=103024, fact=103024
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] No duplicate booking_id in fact table — duplicates=0
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] No unexpected NULL foreign keys — {'null_date': 0, 'null_vehicle': 0, 'null_payment': 0, 'null_status': 0, 'null_pickup': 0, 'null_drop': 0}
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] No orphaned foreign keys — {'date': 0, 'vehicle_type': 0, 'payment_method': 0}
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] Dimension completeness (distinct values match) — {'distinct_vehicle_source': 7, 'rows_in_dim_vehicle': 7, 'distinct_payment_source': 5, 'rows_in_dim_payment': 5, 'distinct_date_source': 31, 'rows_in_dim_date': 31}
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] No negative measures (fare/distance/TAT) — invalid_rows=0
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] Ratings within 1-5 range — invalid_rows=0
2026-07-28 16:36:20 | INFO     | data_quality_checks | [PASS] Pickup/drop location referential integrity — {'pickup': 0, 'drop': 0}
2026-07-28 16:36:20 | INFO     | data_quality_checks | Status/flag consistency (informational, review by eye):
2026-07-28 16:36:20 | INFO     | data_quality_checks |   Canceled by Customer: {'booking_status': 'Canceled by Customer', 'flagged_canceled_by_customer': 10499, 'flagged_canceled_by_driver': 0, 'flagged_incomplete': 0}
2026-07-28 16:36:20 | INFO     | data_quality_checks |   Canceled by Driver: {'booking_status': 'Canceled by Driver', 'flagged_canceled_by_customer': 0, 'flagged_canceled_by_driver': 18434, 'flagged_incomplete': 0}
2026-07-28 16:36:20 | INFO     | data_quality_checks |   Driver Not Found: {'booking_status': 'Driver Not Found', 'flagged_canceled_by_customer': 0, 'flagged_canceled_by_driver': 0, 'flagged_incomplete': 0}
2026-07-28 16:36:20 | INFO     | data_quality_checks |   Success: {'booking_status': 'Success', 'flagged_canceled_by_customer': 0, 'flagged_canceled_by_driver': 0, 'flagged_incomplete': 63967}
2026-07-28 16:36:20 | INFO     | data_quality_checks | Date range (informational): 2024-07-01 -> 2024-07-31, 31 distinct days
2026-07-28 16:36:20 | INFO     | data_quality_checks | All 8 data quality checks passed.
